Well1_Depth,Well1_RHOB,Well2_Depth,Well2_RHOB,Well3_Depth,Well3_RHOB
3012.0336,1.9796,3147.9744,2.3125,2957.0172,2.0134
3012.186,2.0122,3148.1268,2.3028,2957.1696,1.9489
3012.3384,2.0096,3148.2792,2.2922,2957.322,1.9296
3012.4908,1.999,3148.4316,2.2876,2957.4744,1.947
3012.6432,2.0362,3148.584,2.2896,2957.6268,2.0022
3012.7956,2.1201,3148.7364,2.297,2957.7792,2.0403
3012.948,2.1427,3148.8888,2.3017,2957.9316,2.0647
3013.1004,2.0828,3149.0412,2.3089,2958.084,2.072
3013.2528,1.9885,3149.1936,2.3078,2958.2364,2.0854
3013.4052,1.9426,3149.346,2.3047,2958.3888,2.0943
3013.5576,1.9239,3149.4984,2.3016,2958.5412,2.1209
3013.71,1.9211,3149.6508,2.3029,2958.6936,2.1308
3013.8624,1.9325,3149.8032,2.3078,2958.846,2.1218
3014.0148,1.9425,3149.9556,2.3132,2958.9984,2.1216
3014.1672,1.9501,3150.108,2.3173,2959.1508,2.1399
3014.3196,1.954,3150.2604,2.3193,2959.3032,2.17
3014.472,1.9628,3150.4128,2.3245,2959.4556,2.1846
3014.6244,1.9702,3150.5652,2.3329,2959.608,2.1983
3014.7768,1.9572,3150.7176,2.3343,2959.7604,2.2004
3014.9292,1.9411,3150.87,2.3277,2959.9128,2.2007
3015.0816,1.9198,3151.0224,2.3192,2960.0652,2.1826
3015.234,1.9151,3151.1748,2.3104,2960.2176,2.1522
3015.3864,1.9215,3151.3272,2.3025,2960.37,2.1131
3015.5388,1.9268,3151.4796,2.3011,2960.5224,2.0668
3015.6912,1.9198,3151.632,2.3016,2960.6748,2.0171
3015.8436,1.8968,3151.7844,2.3016,2960.8272,2.0034
3015.996,1.8755,3151.9368,2.3055,2960.9796,2.0301
3016.1484,1.8572,3152.0892,2.3122,2961.132,2.0469
3016.3008,1.8505,3152.2416,2.3203,2961.2844,2.0807
3016.4532,1.8485,3152.394,2.3229,2961.4368,2.1092
3016.6056,1.8559,3152.5464,2.3216,2961.5892,2.1345
3016.758,1.8765,3152.6988,2.3194,2961.7416,2.1246
3016.9104,1.9206,3152.8512,2.3149,2961.894,2.0557
3017.0628,1.9537,3153.0036,2.3119,2962.0464,1.997
3017.2152,1.9735,3153.156,2.3103,2962.1988,1.952
3017.3676,1.9598,3153.3084,2.3145,2962.3512,1.9599
3017.52,1.9222,3153.4608,2.3209,2962.5036,1.9758
3017.6724,1.908,3153.6132,2.3269,2962.656,1.9828
3017.8248,1.9007,3153.7656,2.3265,2962.8084,1.9855
3017.9772,1.8907,3153.918,2.3199,2962.9608,2.0111
3018.1296,1.8881,3154.0704,2.3098,2963.1132,2.0541
3018.282,1.8897,3154.2228,2.3,2963.2656,2.0953
3018.4344,1.8963,3154.3752,2.2934,2963.418,2.1459
3018.5868,1.9073,3154.5276,2.2923,2963.5704,2.1698
3018.7392,1.9168,3154.68,2.2976,2963.7228,2.1808
3018.8916,1.9262,3154.8324,2.302,2963.8752,2.1904
3019.044,1.9277,3154.9848,2.3094,2964.0276,2.2079
3019.1964,1.9318,3155.1372,2.3155,2964.18,2.2178
3019.3488,1.942,3155.2896,2.319,2964.3324,2.2198
3019.5012,1.9507,3155.442,2.3196,2964.4848,2.1828
3019.6536,1.9641,3155.5944,2.3163,2964.6372,2.1463
3019.806,1.9561,3155.7468,2.313,2964.7896,2.1329
3019.9584,1.9417,3155.8992,2.3136,2964.942,2.1296
3020.1108,1.9319,3156.0516,2.319,2965.0944,2.132
3020.2632,1.922,3156.204,2.3251,2965.2468,2.134
3020.4156,1.9112,3156.3564,2.3296,2965.3992,2.137
3020.568,1.9072,3156.5088,2.3274,2965.5516,2.1447
3020.7204,1.9159,3156.6612,2.3214,2965.704,2.1646
3020.8728,1.9313,3156.8136,2.317,2965.8564,2.1966
3021.0252,1.9475,3156.966,2.3176,2966.0088,2.2213
3021.1776,1.9469,3157.1184,2.3199,2966.1612,2.226
3021.33,1.9298,3157.2708,2.3216,2966.3136,2.2107
3021.4824,1.9139,3157.4232,2.3196,2966.466,2.1907
3021.6348,1.9001,3157.5756,2.3176,2966.6184,2.19
3021.7872,1.9049,3157.728,2.319,2966.7708,2.198
3021.9396,1.9175,3157.8804,2.3203,2966.9232,2.2168
3022.092,1.9441,3158.0328,2.3098,2967.0756,2.2476
3022.2444,1.9468,3158.1852,2.2981,2967.228,2.2723
3022.3968,1.933,3158.3376,2.2963,2967.3804,2.2902
3022.5492,1.9149,3158.49,2.3046,2967.5328,2.3024
3022.7016,1.9127,3158.6424,2.3193,2967.6852,2.3072
3022.854,1.9337,3158.7948,2.3276,2967.8376,2.2802
3023.0064,1.9841,3158.9472,2.3179,2967.99,2.2343
3023.1588,2.0732,3159.0996,2.3043,2968.1424,2.0884
3023.3112,2.1062,3159.252,2.297,2968.2948,2.0047
3023.4636,2.1099,3159.4044,2.291,2968.4472,1.9786
3023.616,2.0381,3159.5568,2.291,2968.5996,2.0516
3023.7684,1.9949,3159.7092,2.2974,2968.752,2.1701
3023.9208,1.985,3159.8616,2.3035,2968.9044,2.2444
3024.0732,2.0276,3160.014,2.3137,2969.0568,2.2826
3024.2256,2.0349,3160.1664,2.3223,2969.2092,2.2985
3024.378,2.0112,3160.3188,2.3197,2969.3616,2.3066
3024.5304,1.9958,3160.4712,2.3128,2969.514,2.3145
3024.6828,1.9978,3160.6236,2.305,2969.6664,2.3199
3024.8352,2.0271,3160.776,2.307,2969.8188,2.3268
3024.9876,2.0737,3160.9284,2.3118,2969.9712,2.3255
3025.14,2.0956,3161.0808,2.3165,2970.1236,2.3182
3025.2924,2.0768,3161.2332,2.3193,2970.276,2.3162
3025.4448,2.0465,3161.3856,2.3187,2970.4284,2.3182
3025.5972,2.0178,3161.538,2.3154,2970.5808,2.3216
3025.7496,2.0122,3161.6904,2.3107,2970.7332,2.3216
3025.902,2.0112,3161.8428,2.3061,2970.8856,2.3163
3026.0544,1.995,3161.9952,2.3023,2971.038,2.3102
3026.2068,1.9793,3162.1476,2.299,2971.1904,2.3057
3026.3592,1.9706,3162.3,2.2983,2971.3428,2.3016
3026.5116,1.9706,3162.4524,2.3006,2971.4952,2.299
3026.664,1.9793,3162.6048,2.3043,2971.6476,2.285
3026.8164,1.9956,3162.7572,2.3003,2971.8,2.2437
3026.9688,2.0127,3162.9096,2.2984,2971.9524,2.1624
3027.1212,2.036,3163.062,2.3015,2972.1048,2.0507
3027.2736,2.0584,3163.2144,2.3082,2972.2572,1.9938
3027.426,2.0571,3163.3668,2.3149,2972.4096,2.0087
3027.5784,2.0343,3163.5192,2.3203,2972.562,2.057
3027.7308,2.0115,3163.6716,2.3258,2972.7144,2.0867
3027.8832,1.9773,3163.824,2.3298,2972.8668,2.1003
3028.0356,1.9726,3163.9764,2.3348,2973.0192,2.1102
3028.188,1.9733,3164.1288,2.3407,2973.1716,2.1119
3028.3404,1.9576,3164.2812,2.341,2973.324,2.0981
3028.4928,1.9396,3164.4336,2.336,2973.4764,2.0756
3028.6452,1.9383,3164.586,2.3291,2973.6288,2.0574
3028.7976,1.9565,3164.7384,2.329,2973.7812,2.0647
3028.95,1.9793,3164.8908,2.332,2973.9336,2.0797
3029.1024,2.0085,3165.0432,2.3337,2974.086,2.067
3029.2548,2.0359,3165.1956,2.3337,2974.2384,2.0275
3029.4072,2.0601,3165.348,2.3355,2974.3908,1.9981
3029.5596,2.0793,3165.5004,2.3375,2974.5432,1.9685
3029.712,2.0911,3165.6528,2.3384,2974.6956,1.955
3029.8644,2.0789,3165.8052,2.3346,2974.848,1.942
3030.0168,2.0599,3165.9576,2.3272,2975.0004,1.9589
3030.1692,2.0486,3166.11,2.3197,2975.1528,1.971
3030.3216,2.0559,3166.2624,2.3208,2975.3052,1.9968
3030.474,2.0719,3166.4148,2.3256,2975.4576,2.0222
3030.6264,2.0813,3166.5672,2.333,2975.61,2.045
3030.7788,2.0492,3166.7196,2.3384,2975.7624,2.0609
3030.9312,2.0227,3166.872,2.3362,2975.9148,2.0773
3031.0836,2.0248,3167.0244,2.3296,2976.0672,2.1012
3031.236,2.0481,3167.1768,2.3171,2976.2196,2.1564
3031.3884,2.0633,3167.3292,2.3117,2976.372,2.1823
3031.5408,2.0701,3167.4816,2.3124,2976.5244,2.1952
3031.6932,2.0553,3167.634,2.3184,2976.6768,2.201
3031.8456,2.0366,3167.7864,2.3203,2976.8292,2.2049
3031.998,2.0203,3167.9388,2.317,2976.9816,2.2051
3032.1504,2.018,3168.0912,2.311,2977.134,2.207
3032.3028,2.0129,3168.2436,2.3037,2977.2864,2.2146
3032.4552,2.0071,3168.396,2.307,2977.4388,2.2183
3032.6076,2.0024,3168.5484,2.3132,2977.5912,2.2116
3032.76,2.0201,3168.7008,2.3199,2977.7436,2.2142
3032.9124,2.04,3168.8532,2.324,2977.896,2.2504
3033.0648,2.0617,3169.0056,2.3277,2978.0484,2.2878
3033.2172,2.0617,3169.158,2.3304,2978.2008,2.2945
3033.3696,2.0427,3169.3104,2.333,2978.3532,2.2627
3033.522,2.0312,3169.4628,2.3324,2978.5056,2.239
3033.6744,2.0447,3169.6152,2.3368,2978.658,2.2363
3033.8268,2.0605,3169.7676,2.3457,2978.8104,2.2425
3033.9792,2.073,3169.92,2.3517,2978.9628,2.2464
3034.1316,2.081,3170.0724,2.3564,2979.1152,2.2439
3034.284,2.0826,3170.2248,2.3491,2979.2676,2.2404
3034.4364,2.0886,3170.3772,2.347,2979.42,2.2383
3034.5888,2.1082,3170.5296,2.3449,2979.5724,2.2351
3034.7412,2.1353,3170.682,2.3437,2979.7248,2.2308
3034.8936,2.1472,3170.8344,2.3424,2979.8772,2.2318
3035.046,2.0947,3170.9868,2.3424,2980.0296,2.237
3035.1984,2.0615,3171.1392,2.3376,2980.182,2.2465
3035.3508,2.0595,3171.2916,2.3303,2980.3344,2.2496
3035.5032,2.1631,3171.444,2.3251,2980.4868,2.2535
3035.6556,2.2052,3171.5964,2.3245,2980.6392,2.2596
3035.808,2.1875,3171.7488,2.3277,2980.7916,2.2651
3035.9604,2.1254,3171.9012,2.3286,2980.944,2.2704
3036.1128,2.0918,3172.0536,2.3357,2981.0964,2.2704
3036.2652,2.0503,3172.206,2.3417,2981.2488,2.2644
3036.4176,2.024,3172.3584,2.3437,2981.4012,2.2518
3036.57,2.0147,3172.5108,2.3393,2981.5536,2.2373
3036.7224,2.0089,3172.6632,2.3354,2981.706,2.2286
3036.8748,2.0035,3172.8156,2.3351,2981.8584,2.2346
3037.0272,1.9999,3172.968,2.3351,2982.0108,2.2473
3037.1796,1.9953,3173.1204,2.332,2982.1632,2.2548
3037.332,1.9913,3173.2728,2.3291,2982.3156,2.2568
3037.4844,1.9914,3173.4252,2.3271,2982.468,2.2595
3037.6368,1.9943,3173.5776,2.3244,2982.6204,2.2635
3037.7892,1.9968,3173.73,2.3257,2982.7728,2.2641
3037.9416,2.0039,3173.8824,2.3289,2982.9252,2.2586
3038.094,2.0356,3174.0348,2.3298,2983.0776,2.2406
3038.2464,2.07,3174.1872,2.3277,2983.23,2.2157
3038.3988,2.0634,3174.3396,2.3231,2983.3824,2.2044
3038.5512,2.0474,3174.492,2.3109,2983.5348,2.2197
3038.7036,2.0428,3174.6444,2.2969,2983.6872,2.2532
3038.856,2.0973,3174.7968,2.2828,2983.8396,2.2478
3039.0084,2.2126,3174.9492,2.2778,2983.992,2.2509
3039.1608,2.3064,3175.1016,2.2849,2984.1444,2.2302
3039.3132,2.3991,3175.254,2.2945,2984.2968,2.2129
3039.4656,2.4248,3175.4064,2.3002,2984.4492,2.2075
3039.618,2.4383,3175.5588,2.3083,2984.6016,2.2355
3039.7704,2.3456,3175.7112,2.3151,2984.754,2.2809
3039.9228,2.1841,3175.8636,2.3238,2984.9064,2.2867
3040.0752,2.0622,3176.016,2.3251,2985.0588,2.2617
3040.2276,1.9926,3176.1684,2.3272,2985.2112,2.1888
3040.38,1.9669,3176.3208,2.3285,2985.3636,2.1485
3040.5324,1.958,3176.4732,2.3291,2985.516,2.1484
3040.6848,1.9704,3176.6256,2.3212,2985.6684,2.1859
3040.8372,1.988,3176.778,2.3159,2985.8208,2.2054
3040.9896,2.0008,3176.9304,2.3262,2985.9732,2.2095
3041.142,2.0282,3177.0828,2.3468,2986.1256,2.2082
3041.2944,2.0384,3177.2352,2.3572,2986.278,2.2095
3041.4468,2.0353,3177.3876,2.3485,2986.4304,2.2149
3041.5992,2.0324,3177.54,2.3312,2986.5828,2.2239
3041.7516,2.0414,3177.6924,2.3159,2986.7352,2.2304
3041.904,2.063,3177.8448,2.3072,2986.8876,2.2159
3042.0564,2.1161,3177.9972,2.3079,2987.04,2.1795
3042.2088,2.1427,3178.1496,2.3148,2987.1924,2.1353
3042.3612,2.1334,3178.302,2.3277,2987.3448,2.1386
3042.5136,2.106,3178.4544,2.3392,2987.4972,2.1949
3042.666,2.0873,3178.6068,2.3401,2987.6496,2.2185
3042.8184,2.0806,3178.7592,2.3269,2987.802,2.2224
3042.9708,2.075,3178.9116,2.3179,2987.9544,2.2261
3043.1232,2.0671,3179.064,2.3208,2988.1068,2.2433
3043.2756,2.0544,3179.2164,2.3354,2988.2592,2.2558
3043.428,2.0387,3179.3688,2.3757,2988.4116,2.266
3043.5804,2.023,3179.5212,2.4193,2988.564,2.289
3043.7328,2.0078,3179.6736,2.4164,2988.7164,2.3404
3043.8852,1.9986,3179.826,2.3675,2988.8688,2.3721
3044.0376,1.9945,3179.9784,2.3216,2989.0212,2.3499
3044.19,2.0238,3180.1308,2.325,2989.1736,2.2648
3044.3424,2.0606,3180.2832,2.3372,2989.326,2.2079
3044.4948,2.0849,3180.4356,2.3474,2989.4784,2.1867
3044.6472,2.0723,3180.588,2.3544,2989.6308,2.2212
3044.7996,2.0298,3180.7404,2.3723,2989.7832,2.2628
3044.952,2.0032,3180.8928,2.3884,2989.9356,2.2968
3045.1044,2.023,3181.0452,2.4021,2990.088,2.3171
3045.2568,2.0583,3181.1976,2.4128,2990.2404,2.2832
3045.4092,2.077,3181.35,2.3965,2990.3928,2.224
3045.5616,2.0671,3181.5024,2.375,2990.5452,2.1404
3045.714,2.0467,3181.6548,2.3589,2990.6976,2.1196
3045.8664,2.029,3181.8072,2.3602,2990.85,2.1466
3046.0188,2.0218,3181.9596,2.3715,2991.0024,2.198
3046.1712,2.0289,3182.112,2.3682,2991.1548,2.2423
3046.3236,2.0371,3182.2644,2.3493,2991.3072,2.2577
3046.476,2.0291,3182.4168,2.3125,2991.4596,2.2753
3046.6284,1.9932,3182.5692,2.2736,2991.612,2.2838
3046.7808,1.9811,3182.7216,2.2377,2991.7644,2.2974
3046.9332,1.9799,3182.874,2.2131,2991.9168,2.3039
3047.0856,2.0114,3183.0264,2.203,2992.0692,2.2933
3047.238,2.0391,3183.1788,2.2116,2992.2216,2.2865
3047.3904,2.0564,3183.3312,2.2259,2992.374,2.2865
3047.5428,2.0525,3183.4836,2.233,2992.5264,2.2902
3047.6952,2.0537,3183.636,2.2228,2992.6788,2.3009
3047.8476,2.0752,3183.7884,2.2098,2992.8312,2.3117
3048,2.0889,3183.9408,2.1986,2992.9836,2.3201
3048.1524,2.076,3184.0932,2.2138,2993.136,2.3372
3048.3048,2.0597,3184.2456,2.2314,2993.2884,2.3455
3048.4572,2.052,3184.398,2.2562,2993.4408,2.3206
3048.6096,2.104,3184.5504,2.2837,2993.5932,2.2729
3048.762,2.1463,3184.7028,2.2745,2993.7456,2.2339
3048.9144,2.1581,3184.8552,2.2448,2993.898,2.2224
3049.0668,2.2023,3185.0076,2.2132,2994.0504,2.2354
3049.2192,2.2576,3185.16,2.2221,2994.2028,2.2449
3049.3716,2.3117,3185.3124,2.2506,2994.3552,2.2411
3049.524,2.319,3185.4648,2.2872,2994.5076,2.2317
3049.6764,2.3217,3185.6172,2.3057,2994.66,2.2293
3049.8288,2.3436,3185.7696,2.298,2994.8124,2.2516
3049.9812,2.3569,3185.922,2.2797,2994.9648,2.2859
3050.1336,2.338,3186.0744,2.2543,2995.1172,2.3061
3050.286,2.3066,3186.2268,2.2326,2995.2696,2.3037
3050.4384,2.2797,3186.3792,2.208,2995.422,2.2723
3050.5908,2.2777,3186.5316,2.1891,2995.5744,2.2225
3050.7432,2.3011,3186.684,2.1738,2995.7268,2.1854
3050.8956,2.3188,3186.8364,2.164,2995.8792,2.1796
3051.048,2.3195,3186.9888,2.1586,2996.0316,2.191
3051.2004,2.3138,3187.1412,2.1518,2996.184,2.2352
3051.3528,2.3098,3187.2936,2.1493,2996.3364,2.2601
3051.5052,2.3018,3187.446,2.1446,2996.4888,2.2687
3051.6576,2.2891,3187.5984,2.1384,2996.6412,2.2157
3051.81,2.2752,3187.7508,2.1364,2996.7936,2.1233
3051.9624,2.2655,3187.9032,2.1519,2996.946,2.092
3052.1148,2.2615,3188.0556,2.1699,2997.0984,2.0899
3052.2672,2.2659,3188.208,2.1835,2997.2508,2.1576
3052.4196,2.2707,3188.3604,2.1917,2997.4032,2.2292
3052.572,2.2747,3188.5128,2.1983,2997.5556,2.2679
3052.7244,2.2813,3188.6652,2.2017,2997.708,2.2875
3052.8768,2.2899,3188.8176,2.2138,2997.8604,2.2722
3053.0292,2.2919,3188.97,2.2242,2998.0128,2.2412
3053.1816,2.279,3189.1224,2.2403,2998.1652,2.24
3053.334,2.2684,3189.2748,2.2401,2998.3176,2.3026
3053.4864,2.2632,3189.4272,2.23,2998.47,2.3498
3053.6388,2.2625,3189.5796,2.2195,2998.6224,2.3449
3053.7912,2.2602,3189.732,2.2136,2998.7748,2.3231
3053.9436,2.2572,3189.8844,2.2156,2998.9272,2.3026
3054.096,2.2541,3190.0368,2.2216,2999.0796,2.2734
3054.2484,2.2498,3190.1892,2.2236,2999.232,2.2433
3054.4008,2.2443,3190.3416,2.2249,2999.3844,2.2136
