Year,2000m,3000m,4000m,5000m,6000m
1995,0,2.3,1,22.6,17.2
1996,4.2,25,25.9,22.6,17.2
1997,3.9,32.9,27.6,22.6,17.2
1998,1.5,25.1,47.4,33.5,17.2
1999,3.3,7.8,35.1,34.8,36
2000,1.5,1.4,25.7,28.4,15
2001,0.2,5.7,20.6,35.8,39.1
2002,4.5,1,17.3,40.3,15.7
2003,0.1,2.9,13.5,33.3,36.7
2004,0,5.3,5.3,18.1,45.8
2005,0.1,3.7,6.8,28.8,77
